HomeTeam,AwayTeam,Date,Div,Season,FTR,AVG_H,AVG_D,AVG_A,league
Accrington,Aldershot,2010-08-07,E3,2010-2011,D,2.44,3.24,2.65,England: League Two
Burton,Oxford,2010-08-07,E3,2010-2011,D,2.28,3.26,2.88,England: League Two
Bury,Port Vale,2010-08-07,E3,2010-2011,A,2.21,3.24,3.01,England: League Two
Chesterfield,Barnet,2010-08-07,E3,2010-2011,H,1.64,3.51,5.09,England: League Two
Crewe,Hereford,2010-08-07,E3,2010-2011,A,1.87,3.36,3.79,England: League Two
Gillingham,Cheltenham,2010-08-07,E3,2010-2011,D,1.62,3.59,5.05,England: League Two
Rotherham,Lincoln,2010-08-07,E3,2010-2011,H,1.75,3.43,4.38,England: League Two
Shrewsbury,Bradford,2010-08-07,E3,2010-2011,H,2.31,3.24,2.85,England: League Two
Southend,Stockport,2010-08-07,E3,2010-2011,D,2.02,3.32,3.37,England: League Two
Stevenage,Macclesfield,2010-08-07,E3,2010-2011,D,1.87,3.36,3.81,England: League Two
Torquay,Northampton,2010-08-07,E3,2010-2011,H,2.27,3.24,2.91,England: League Two
Wycombe,Morecambe,2010-08-07,E3,2010-2011,H,1.9,3.31,3.81,England: League Two
Aldershot,Southend,2010-08-14,E3,2010-2011,H,2.05,3.28,3.39,England: League Two
Barnet,Burton,2010-08-14,E3,2010-2011,D,2.47,3.2,2.71,England: League Two
Bradford,Stevenage,2010-08-14,E3,2010-2011,H,1.95,3.26,3.74,England: League Two
Cheltenham,Crewe,2010-08-14,E3,2010-2011,H,2.39,3.25,2.78,England: League Two
Hereford,Gillingham,2010-08-14,E3,2010-2011,D,2.51,3.21,2.66,England: League Two
Lincoln,Torquay,2010-08-14,E3,2010-2011,A,2.5,3.19,2.68,England: League Two
Macclesfield,Shrewsbury,2010-08-14,E3,2010-2011,A,2.82,3.24,2.37,England: League Two
Morecambe,Rotherham,2010-08-14,E3,2010-2011,D,2.38,3.23,2.81,England: League Two
Northampton,Accrington,2010-08-14,E3,2010-2011,D,1.79,3.39,4.34,England: League Two
Oxford,Bury,2010-08-14,E3,2010-2011,A,2.01,3.25,3.56,England: League Two
Port Vale,Chesterfield,2010-08-14,E3,2010-2011,D,2.19,3.24,3.14,England: League Two
Stockport,Wycombe,2010-08-14,E3,2010-2011,D,3.1,3.28,2.19,England: League Two
Accrington,Macclesfield,2010-08-21,E3,2010-2011,H,2.12,3.24,3.29,England: League Two
Burton,Morecambe,2010-08-21,E3,2010-2011,H,2.21,3.26,3.07,England: League Two
Bury,Northampton,2010-08-21,E3,2010-2011,D,2.14,3.28,3.21,England: League Two
Chesterfield,Hereford,2010-08-21,E3,2010-2011,H,1.9,3.31,3.9,England: League Two
Crewe,Barnet,2010-08-21,E3,2010-2011,H,1.87,3.36,3.97,England: League Two
Gillingham,Lincoln,2010-08-21,E3,2010-2011,A,1.69,3.44,4.96,England: League Two
Rotherham,Cheltenham,2010-08-21,E3,2010-2011,H,1.77,3.39,4.47,England: League Two
Shrewsbury,Aldershot,2010-08-21,E3,2010-2011,D,1.98,3.29,3.62,England: League Two
Southend,Port Vale,2010-08-21,E3,2010-2011,A,2.49,3.21,2.68,England: League Two
Stevenage,Stockport,2010-08-21,E3,2010-2011,H,1.77,3.39,4.49,England: League Two
Torquay,Bradford,2010-08-21,E3,2010-2011,H,1.98,3.28,3.64,England: League Two
Wycombe,Oxford,2010-08-21,E3,2010-2011,D,1.91,3.32,3.84,England: League Two
Bradford,Southend,2010-08-27,E3,2010-2011,A,1.8,3.39,4.37,England: League Two
Aldershot,Stevenage,2010-08-28,E3,2010-2011,D,2.25,3.23,3.04,England: League Two
Barnet,Bury,2010-08-28,E3,2010-2011,D,2.77,3.26,2.4,England: League Two
Cheltenham,Burton,2010-08-28,E3,2010-2011,H,2.46,3.25,2.71,England: League Two
Hereford,Rotherham,2010-08-28,E3,2010-2011,A,2.59,3.21,2.58,England: League Two
Lincoln,Crewe,2010-08-28,E3,2010-2011,D,2.42,3.26,2.75,England: League Two
Macclesfield,Chesterfield,2010-08-28,E3,2010-2011,D,3.04,3.27,2.24,England: League Two
Morecambe,Gillingham,2010-08-28,E3,2010-2011,D,2.24,3.2,3.06,England: League Two
Northampton,Wycombe,2010-08-28,E3,2010-2011,D,2.42,3.21,2.79,England: League Two
Oxford,Accrington,2010-08-28,E3,2010-2011,D,1.75,3.41,4.58,England: League Two
Port Vale,Torquay,2010-08-28,E3,2010-2011,A,2.33,3.24,2.9,England: League Two
Stockport,Shrewsbury,2010-08-28,E3,2010-2011,A,2.9,3.24,2.34,England: League Two
Accrington,Wycombe,2010-09-04,E3,2010-2011,D,2.63,3.22,2.5,England: League Two
Aldershot,Northampton,2010-09-04,E3,2010-2011,D,2.01,3.26,3.52,England: League Two
Barnet,Cheltenham,2010-09-04,E3,2010-2011,H,2.44,3.24,2.71,England: League Two
Bradford,Port Vale,2010-09-04,E3,2010-2011,A,2.5,3.22,2.65,England: League Two
Burton,Hereford,2010-09-04,E3,2010-2011,H,2.01,3.34,3.48,England: League Two
Bury,Gillingham,2010-09-04,E3,2010-2011,H,2.25,3.24,3.0,England: League Two
Chesterfield,Lincoln,2010-09-04,E3,2010-2011,H,1.7,3.49,4.79,England: League Two
Macclesfield,Stockport,2010-09-04,E3,2010-2011,A,2.11,3.28,3.3,England: League Two
Oxford,Morecambe,2010-09-04,E3,2010-2011,H,2.03,3.3,3.45,England: League Two
Shrewsbury,Rotherham,2010-09-04,E3,2010-2011,H,2.21,3.22,3.11,England: League Two
Southend,Torquay,2010-09-04,E3,2010-2011,H,3.06,3.25,2.24,England: League Two
Stevenage,Crewe,2010-09-04,E3,2010-2011,D,2.01,3.32,3.49,England: League Two
Cheltenham,Stevenage,2010-09-11,E3,2010-2011,H,2.55,3.27,2.61,England: League Two
Crewe,Bury,2010-09-11,E3,2010-2011,H,2.34,3.3,2.86,England: League Two
Gillingham,Shrewsbury,2010-09-11,E3,2010-2011,H,2.43,3.28,2.73,England: League Two
Hereford,Oxford,2010-09-11,E3,2010-2011,A,2.72,3.25,2.47,England: League Two
Lincoln,Barnet,2010-09-11,E3,2010-2011,H,2.03,3.33,3.49,England: League Two
Morecambe,Chesterfield,2010-09-11,E3,2010-2011,D,2.72,3.3,2.42,England: League Two
Northampton,Southend,2010-09-11,E3,2010-2011,H,2.19,3.29,3.14,England: League Two
Port Vale,Aldershot,2010-09-11,E3,2010-2011,H,1.87,3.37,4.04,England: League Two
Rotherham,Burton,2010-09-11,E3,2010-2011,D,1.92,3.34,3.83,England: League Two
Stockport,Bradford,2010-09-11,E3,2010-2011,D,2.58,3.24,2.59,England: League Two
Torquay,Accrington,2010-09-11,E3,2010-2011,D,1.71,3.49,4.86,England: League Two
Wycombe,Macclesfield,2010-09-11,E3,2010-2011,A,1.59,3.73,5.44,England: League Two
Accrington,Lincoln,2010-09-17,E3,2010-2011,H,2.02,3.29,3.5,England: League Two
Aldershot,Wycombe,2010-09-18,E3,2010-2011,D,2.29,3.25,2.94,England: League Two
Barnet,Rotherham,2010-09-18,E3,2010-2011,A,2.86,3.26,2.32,England: League Two
Bradford,Gillingham,2010-09-18,E3,2010-2011,H,2.39,3.24,2.78,England: League Two
Burton,Crewe,2010-09-18,E3,2010-2011,D,2.1,3.31,3.26,England: League Two
Bury,Hereford,2010-09-18,E3,2010-2011,D,1.81,3.41,4.19,England: League Two
Chesterfield,Cheltenham,2010-09-18,E3,2010-2011,H,1.77,3.46,4.4,England: League Two
Macclesfield,Port Vale,2010-09-18,E3,2010-2011,A,2.99,3.33,2.22,England: League Two
Oxford,Stockport,2010-09-18,E3,2010-2011,A,1.63,3.6,5.2,England: League Two
Shrewsbury,Northampton,2010-09-18,E3,2010-2011,H,1.91,3.37,3.8,England: League Two
Southend,Morecambe,2010-09-18,E3,2010-2011,A,2.0,3.36,3.48,England: League Two
Stevenage,Torquay,2010-09-18,E3,2010-2011,D,2.38,3.26,2.79,England: League Two
Cheltenham,Bury,2010-09-25,E3,2010-2011,A,2.45,3.23,2.75,England: League Two
Crewe,Oxford,2010-09-25,E3,2010-2011,D,2.52,3.24,2.66,England: League Two
Gillingham,Burton,2010-09-25,E3,2010-2011,H,2.09,3.24,3.38,England: League Two
Hereford,Southend,2010-09-25,E3,2010-2011,A,2.44,3.29,2.72,England: League Two
Lincoln,Stevenage,2010-09-25,E3,2010-2011,A,2.88,3.31,2.31,England: League Two
Morecambe,Barnet,2010-09-25,E3,2010-2011,D,1.85,3.39,4.03,England: League Two
Northampton,Bradford,2010-09-25,E3,2010-2011,H,2.37,3.24,2.84,England: League Two
Port Vale,Accrington,2010-09-25,E3,2010-2011,H,1.8,3.44,4.29,England: League Two
Rotherham,Chesterfield,2010-09-25,E3,2010-2011,H,2.15,3.28,3.24,England: League Two
Stockport,Aldershot,2010-09-25,E3,2010-2011,D,2.65,3.26,2.53,England: League Two
Torquay,Macclesfield,2010-09-25,E3,2010-2011,A,1.54,3.73,6.11,England: League Two
Wycombe,Shrewsbury,2010-09-25,E3,2010-2011,D,2.42,3.26,2.78,England: League Two
Cheltenham,Oxford,2010-09-28,E3,2010-2011,D,2.73,3.24,2.47,England: League Two
Crewe,Macclesfield,2010-09-28,E3,2010-2011,D,1.81,3.43,4.22,England: League Two
Gillingham,Southend,2010-09-28,E3,2010-2011,D,2.03,3.36,3.49,England: League Two
Hereford,Stevenage,2010-09-28,E3,2010-2011,A,3.08,3.3,2.22,England: League Two
Lincoln,Burton,2010-09-28,E3,2010-2011,D,2.7,3.27,2.47,England: League Two
Morecambe,Bury,2010-09-28,E3,2010-2011,A,2.44,3.31,2.73,England: League Two
Northampton,Chesterfield,2010-09-28,E3,2010-2011,A,2.39,3.31,2.8,England: League Two
Port Vale,Shrewsbury,2010-09-28,E3,2010-2011,H,2.12,3.28,3.31,England: League Two
Rotherham,Bradford,2010-09-28,E3,2010-2011,D,1.72,3.51,4.68,England: League Two
Stockport,Accrington,2010-09-28,E3,2010-2011,D,2.45,3.27,2.73,England: League Two
Torquay,Aldershot,2010-09-28,E3,2010-2011,A,2.07,3.3,3.4,England: League Two
Wycombe,Barnet,2010-09-28,E3,2010-2011,H,1.73,3.56,4.55,England: League Two
Accrington,Gillingham,2010-10-02,E3,2010-2011,H,2.35,3.27,2.85,England: League Two
Aldershot,Cheltenham,2010-10-02,E3,2010-2011,A,1.81,3.46,4.2,England: League Two
Barnet,Hereford,2010-10-02,E3,2010-2011,H,2.21,3.32,3.08,England: League Two
Bradford,Morecambe,2010-10-02,E3,2010-2011,A,2.01,3.35,3.54,England: League Two
Burton,Stockport,2010-10-02,E3,2010-2011,H,1.79,3.46,4.33,England: League Two
Bury,Rotherham,2010-10-02,E3,2010-2011,D,2.36,3.29,2.84,England: League Two
Chesterfield,Crewe,2010-10-02,E3,2010-2011,D,1.81,3.46,4.25,England: League Two
Macclesfield,Northampton,2010-10-02,E3,2010-2011,H,2.49,3.29,2.67,England: League Two
Oxford,Port Vale,2010-10-02,E3,2010-2011,H,2.44,3.24,2.74,England: League Two
Shrewsbury,Torquay,2010-10-02,E3,2010-2011,D,2.0,3.34,3.56,England: League Two
Southend,Lincoln,2010-10-02,E3,2010-2011,H,1.8,3.46,4.3,England: League Two
Stevenage,Wycombe,2010-10-02,E3,2010-2011,A,2.14,3.26,3.3,England: League Two
Barnet,Bradford,2010-10-09,E3,2010-2011,A,2.38,3.24,2.83,England: League Two
Burton,Wycombe,2010-10-09,E3,2010-2011,A,2.42,3.2,2.79,England: League Two
Bury,Accrington,2010-10-09,E3,2010-2011,H,2.02,3.3,3.55,England: League Two
Cheltenham,Northampton,2010-10-09,E3,2010-2011,H,2.38,3.24,2.85,England: League Two
Chesterfield,Southend,2010-10-09,E3,2010-2011,H,1.82,3.46,4.17,England: League Two
Crewe,Torquay,2010-10-09,E3,2010-2011,D,2.28,3.29,2.96,England: League Two
Gillingham,Stockport,2010-10-09,E3,2010-2011,H,1.78,3.48,4.34,England: League Two
Hereford,Port Vale,2010-10-09,E3,2010-2011,D,4.47,3.42,1.77,England: League Two
Lincoln,Macclesfield,2010-10-09,E3,2010-2011,H,2.42,3.21,2.83,England: League Two
Morecambe,Shrewsbury,2010-10-09,E3,2010-2011,H,2.67,3.26,2.5,England: League Two
Oxford,Aldershot,2010-10-09,E3,2010-2011,A,1.94,3.29,3.83,England: League Two
Rotherham,Stevenage,2010-10-09,E3,2010-2011,D,2.05,3.29,3.47,England: League Two
Accrington,Rotherham,2010-10-16,E3,2010-2011,A,2.57,3.24,2.61,England: League Two
Aldershot,Morecambe,2010-10-16,E3,2010-2011,H,1.89,3.38,3.9,England: League Two
Bradford,Cheltenham,2010-10-16,E3,2010-2011,H,1.99,3.31,3.61,England: League Two
Macclesfield,Oxford,2010-10-16,E3,2010-2011,H,2.73,3.27,2.44,England: League Two
Northampton,Hereford,2010-10-16,E3,2010-2011,A,1.8,3.47,4.24,England: League Two
Port Vale,Gillingham,2010-10-16,E3,2010-2011,D,1.83,3.48,4.05,England: League Two
Shrewsbury,Lincoln,2010-10-16,E3,2010-2011,H,1.75,3.49,4.47,England: League Two
Southend,Crewe,2010-10-16,E3,2010-2011,A,2.21,3.29,3.07,England: League Two
Stevenage,Burton,2010-10-16,E3,2010-2011,H,1.93,3.36,3.76,England: League Two
Stockport,Barnet,2010-10-16,E3,2010-2011,H,2.19,3.31,3.13,England: League Two
Torquay,Bury,2010-10-16,E3,2010-2011,A,2.28,3.3,2.95,England: League Two
Wycombe,Chesterfield,2010-10-16,E3,2010-2011,A,2.2,3.29,3.11,England: League Two
Barnet,Macclesfield,2010-10-23,E3,2010-2011,H,2.4,3.29,2.76,England: League Two
Burton,Bradford,2010-10-23,E3,2010-2011,H,2.19,3.3,3.14,England: League Two
Bury,Southend,2010-10-23,E3,2010-2011,H,1.88,3.41,3.9,England: League Two
Cheltenham,Port Vale,2010-10-23,E3,2010-2011,D,2.91,3.27,2.32,England: League Two
Chesterfield,Shrewsbury,2010-10-23,E3,2010-2011,H,2.01,3.31,3.56,England: League Two
Crewe,Aldershot,2010-10-23,E3,2010-2011,H,2.27,3.29,2.99,England: League Two
Gillingham,Torquay,2010-10-23,E3,2010-2011,D,2.25,3.26,3.06,England: League Two
Hereford,Accrington,2010-10-23,E3,2010-2011,D,2.58,3.27,2.59,England: League Two
Lincoln,Stockport,2010-10-23,E3,2010-2011,D,2.2,3.29,3.13,England: League Two
Morecambe,Stevenage,2010-10-23,E3,2010-2011,D,2.61,3.29,2.54,England: League Two
Oxford,Northampton,2010-10-23,E3,2010-2011,H,1.83,3.38,4.21,England: League Two
Rotherham,Wycombe,2010-10-23,E3,2010-2011,A,2.29,3.26,2.97,England: League Two
Accrington,Cheltenham,2010-10-30,E3,2010-2011,A,1.96,3.37,3.68,England: League Two
Aldershot,Bury,2010-10-30,E3,2010-2011,A,2.4,3.29,2.78,England: League Two
Bradford,Oxford,2010-10-30,E3,2010-2011,H,2.66,3.27,2.51,England: League Two
Macclesfield,Burton,2010-10-30,E3,2010-2011,H,2.52,3.29,2.64,England: League Two
Northampton,Gillingham,2010-10-30,E3,2010-2011,H,2.42,3.26,2.79,England: League Two
Port Vale,Crewe,2010-10-30,E3,2010-2011,H,1.95,3.39,3.69,England: League Two
Shrewsbury,Barnet,2010-10-30,E3,2010-2011,H,1.57,3.65,5.94,England: League Two
Southend,Rotherham,2010-10-30,E3,2010-2011,H,2.49,3.29,2.66,England: League Two
Stevenage,Chesterfield,2010-10-30,E3,2010-2011,D,2.35,3.29,2.88,England: League Two
Stockport,Hereford,2010-10-30,E3,2010-2011,A,2.16,3.27,3.22,England: League Two
Torquay,Morecambe,2010-10-30,E3,2010-2011,H,1.92,3.36,3.78,England: League Two
Wycombe,Lincoln,2010-10-30,E3,2010-2011,D,1.55,3.67,5.9,England: League Two
Barnet,Stevenage,2010-11-02,E3,2010-2011,A,3.22,3.26,2.15,England: League Two
Burton,Port Vale,2010-11-02,E3,2010-2011,D,2.63,3.24,2.52,England: League Two
Bury,Bradford,2010-11-02,E3,2010-2011,A,1.81,3.41,4.18,England: League Two
Chesterfield,Accrington,2010-11-02,E3,2010-2011,H,1.67,3.59,4.84,England: League Two
Crewe,Shrewsbury,2010-11-02,E3,2010-2011,A,2.28,3.29,2.91,England: League Two
Gillingham,Wycombe,2010-11-02,E3,2010-2011,A,2.44,3.26,2.7,England: League Two
Hereford,Aldershot,2010-11-02,E3,2010-2011,D,2.39,3.25,2.79,England: League Two
Lincoln,Northampton,2010-11-02,E3,2010-2011,A,2.43,3.25,2.76,England: League Two
Morecambe,Stockport,2010-11-02,E3,2010-2011,H,2.01,3.32,3.48,England: League Two
Oxford,Torquay,2010-11-02,E3,2010-2011,A,2.29,3.24,2.95,England: League Two
Rotherham,Macclesfield,2010-11-02,E3,2010-2011,D,1.75,3.47,4.48,England: League Two
Bury,Stockport,2010-11-13,E3,2010-2011,A,1.56,3.76,5.83,England: League Two
Chesterfield,Burton,2010-11-13,E3,2010-2011,A,1.75,3.5,4.54,England: League Two
Gillingham,Crewe,2010-11-13,E3,2010-2011,A,2.41,3.31,2.77,England: League Two
Hereford,Cheltenham,2010-11-13,E3,2010-2011,D,2.37,3.27,2.83,England: League Two
Macclesfield,Aldershot,2010-11-13,E3,2010-2011,H,2.46,3.28,2.71,England: League Two
Morecambe,Lincoln,2010-11-13,E3,2010-2011,A,1.87,3.41,3.93,England: League Two
Northampton,Port Vale,2010-11-13,E3,2010-2011,D,2.66,3.23,2.53,England: League Two
Rotherham,Oxford,2010-11-13,E3,2010-2011,H,2.14,3.24,3.31,England: League Two
Southend,Accrington,2010-11-13,E3,2010-2011,D,2.01,3.36,3.52,England: League Two
Stevenage,Shrewsbury,2010-11-13,E3,2010-2011,D,2.12,3.32,3.29,England: League Two
Torquay,Barnet,2010-11-13,E3,2010-2011,D,1.61,3.66,5.37,England: League Two
Wycombe,Bradford,2010-11-13,E3,2010-2011,H,1.88,3.41,3.94,England: League Two
Burton,Bury,2010-11-19,E3,2010-2011,A,2.3,3.29,2.96,England: League Two
Accrington,Stevenage,2010-11-20,E3,2010-2011,H,2.81,3.25,2.41,England: League Two
Aldershot,Chesterfield,2010-11-20,E3,2010-2011,A,2.57,3.24,2.63,England: League Two
Barnet,Northampton,2010-11-20,E3,2010-2011,H,2.64,3.28,2.53,England: League Two
Bradford,Macclesfield,2010-11-20,E3,2010-2011,A,2.04,3.33,3.47,England: League Two
Cheltenham,Morecambe,2010-11-20,E3,2010-2011,D,2.08,3.31,3.41,England: League Two
Crewe,Rotherham,2010-11-20,E3,2010-2011,A,2.28,3.4,2.9,England: League Two
Lincoln,Hereford,2010-11-20,E3,2010-2011,H,2.25,3.26,3.09,England: League Two
Oxford,Gillingham,2010-11-20,E3,2010-2011,A,1.98,3.32,3.69,England: League Two
Port Vale,Wycombe,2010-11-20,E3,2010-2011,H,2.37,3.2,2.93,England: League Two
Shrewsbury,Southend,2010-11-20,E3,2010-2011,D,1.89,3.41,3.88,England: League Two
Stockport,Torquay,2010-11-20,E3,2010-2011,D,2.97,3.28,2.3,England: League Two
Barnet,Gillingham,2010-11-23,E3,2010-2011,A,2.53,3.26,2.67,England: League Two
Bradford,Accrington,2010-11-23,E3,2010-2011,D,2.11,3.28,3.32,England: League Two
Burton,Aldershot,2010-11-23,E3,2010-2011,A,2.11,3.29,3.29,England: League Two
Chesterfield,Oxford,2010-11-23,E3,2010-2011,A,1.79,3.47,4.35,England: League Two
Lincoln,Bury,2010-11-23,E3,2010-2011,A,2.86,3.26,2.37,England: League Two
Macclesfield,Cheltenham,2010-11-23,E3,2010-2011,A,2.16,3.28,3.24,England: League Two
Rotherham,Northampton,2010-11-23,E3,2010-2011,D,1.83,3.44,4.15,England: League Two
Shrewsbury,Hereford,2010-11-23,E3,2010-2011,H,1.66,3.67,4.89,England: League Two
Stevenage,Southend,2010-11-23,E3,2010-2011,D,1.82,3.46,4.13,England: League Two
Stockport,Port Vale,2010-11-23,E3,2010-2011,A,3.22,3.31,2.16,England: League Two
Wycombe,Torquay,2010-11-23,E3,2010-2011,A,2.02,3.31,3.59,England: League Two
Morecambe,Crewe,2010-11-27,E3,2010-2011,A,2.49,3.21,2.64,England: League Two
Northampton,Stockport,2010-12-04,E3,2010-2011,H,1.79,3.46,4.23,England: League Two
Oxford,Barnet,2010-12-04,E3,2010-2011,H,1.79,3.46,4.26,England: League Two
Barnet,Accrington,2010-12-11,E3,2010-2011,H,2.5,3.26,2.7,England: League Two
Bradford,Hereford,2010-12-11,E3,2010-2011,H,1.8,3.45,4.27,England: League Two
Burton,Southend,2010-12-11,E3,2010-2011,H,2.11,3.3,3.32,England: League Two
Chesterfield,Torquay,2010-12-11,E3,2010-2011,H,2.06,3.34,3.41,England: League Two
Macclesfield,Gillingham,2010-12-11,E3,2010-2011,A,2.48,3.29,2.71,England: League Two
Morecambe,Port Vale,2010-12-11,E3,2010-2011,H,3.04,3.27,2.25,England: League Two
Rotherham,Aldershot,2010-12-11,E3,2010-2011,H,1.99,3.35,3.59,England: League Two
Shrewsbury,Cheltenham,2010-12-11,E3,2010-2011,D,1.83,3.41,4.12,England: League Two
Stevenage,Northampton,2010-12-11,E3,2010-2011,A,1.88,3.41,3.91,England: League Two
Stockport,Crewe,2010-12-11,E3,2010-2011,D,2.98,3.35,2.25,England: League Two
Wycombe,Bury,2010-12-11,E3,2010-2011,H,2.33,3.34,2.84,England: League Two
Cheltenham,Southend,2010-12-14,E3,2010-2011,A,2.09,3.26,3.31,England: League Two
Wycombe,Hereford,2010-12-26,E3,2010-2011,H,1.53,3.86,5.89,England: League Two
Barnet,Stockport,2010-12-28,E3,2010-2011,A,2.06,3.34,3.4,England: League Two
Cheltenham,Bradford,2010-12-28,E3,2010-2011,H,2.21,3.3,3.13,England: League Two
Gillingham,Port Vale,2010-12-28,E3,2010-2011,H,2.5,3.23,2.72,England: League Two
Oxford,Macclesfield,2010-12-28,E3,2010-2011,H,1.97,3.34,3.69,England: League Two
Barnet,Aldershot,2011-01-01,E3,2010-2011,A,2.49,3.28,2.69,England: League Two
Burton,Shrewsbury,2011-01-01,E3,2010-2011,D,2.48,3.26,2.71,England: League Two
Bury,Macclesfield,2011-01-01,E3,2010-2011,D,1.73,3.52,4.59,England: League Two
Cheltenham,Wycombe,2011-01-01,E3,2010-2011,A,2.56,3.22,2.64,England: League Two
Chesterfield,Stockport,2011-01-01,E3,2010-2011,H,1.5,3.96,6.18,England: League Two
Crewe,Northampton,2011-01-01,E3,2010-2011,H,2.13,3.34,3.24,England: League Two
Gillingham,Stevenage,2011-01-01,E3,2010-2011,H,2.06,3.32,3.47,England: League Two
Hereford,Torquay,2011-01-01,E3,2010-2011,D,3.06,3.27,2.25,England: League Two
Lincoln,Bradford,2011-01-01,E3,2010-2011,A,2.42,3.28,2.78,England: League Two
Morecambe,Accrington,2011-01-01,E3,2010-2011,A,2.16,3.27,3.24,England: League Two
Oxford,Southend,2011-01-01,E3,2010-2011,A,2.03,3.27,3.57,England: League Two
Rotherham,Port Vale,2011-01-01,E3,2010-2011,H,2.29,3.22,3.04,England: League Two
Accrington,Chesterfield,2011-01-03,E3,2010-2011,D,2.91,3.3,2.33,England: League Two
Aldershot,Hereford,2011-01-03,E3,2010-2011,A,1.79,3.48,4.35,England: League Two
Bradford,Bury,2011-01-03,E3,2010-2011,H,2.56,3.25,2.61,England: League Two
Macclesfield,Rotherham,2011-01-03,E3,2010-2011,A,2.92,3.31,2.31,England: League Two
Northampton,Lincoln,2011-01-03,E3,2010-2011,H,1.77,3.47,4.48,England: League Two
Port Vale,Burton,2011-01-03,E3,2010-2011,H,1.99,3.33,3.64,England: League Two
Shrewsbury,Crewe,2011-01-03,E3,2010-2011,A,2.0,3.41,3.5,England: League Two
Southend,Cheltenham,2011-01-03,E3,2010-2011,A,2.17,3.31,3.19,England: League Two
Stevenage,Barnet,2011-01-03,E3,2010-2011,H,1.7,3.58,4.77,England: League Two
Stockport,Morecambe,2011-01-03,E3,2010-2011,A,2.3,3.33,2.93,England: League Two
Torquay,Oxford,2011-01-03,E3,2010-2011,A,1.99,3.4,3.59,England: League Two
Wycombe,Gillingham,2011-01-03,E3,2010-2011,H,2.01,3.35,3.55,England: League Two
Accrington,Bury,2011-01-08,E3,2010-2011,H,2.65,3.31,2.45,England: League Two
Aldershot,Oxford,2011-01-08,E3,2010-2011,A,2.39,3.25,2.77,England: League Two
Bradford,Barnet,2011-01-08,E3,2010-2011,A,1.64,3.61,5.06,England: League Two
Crewe,Wycombe,2011-01-08,E3,2010-2011,H,2.44,3.29,2.7,England: League Two
Northampton,Cheltenham,2011-01-08,E3,2010-2011,D,2.05,3.32,3.39,England: League Two
Shrewsbury,Morecambe,2011-01-08,E3,2010-2011,A,1.75,3.49,4.37,England: League Two
Southend,Chesterfield,2011-01-08,E3,2010-2011,A,2.61,3.27,2.5,England: League Two
Stockport,Gillingham,2011-01-08,E3,2010-2011,A,3.2,3.33,2.12,England: League Two
Stockport,Rotherham,2011-01-11,E3,2010-2011,D,4.46,3.5,1.76,England: League Two
Torquay,Crewe,2011-01-11,E3,2010-2011,H,2.25,3.35,2.94,England: League Two
Barnet,Shrewsbury,2011-01-15,E3,2010-2011,D,2.71,3.31,2.45,England: League Two
Bury,Aldershot,2011-01-15,E3,2010-2011,D,1.79,3.46,4.32,England: League Two
Cheltenham,Accrington,2011-01-15,E3,2010-2011,A,2.14,3.26,3.29,England: League Two
Chesterfield,Stevenage,2011-01-15,E3,2010-2011,H,1.88,3.43,3.79,England: League Two
Crewe,Port Vale,2011-01-15,E3,2010-2011,H,2.14,3.36,3.21,England: League Two
Gillingham,Northampton,2011-01-15,E3,2010-2011,H,1.93,3.36,3.84,England: League Two
Hereford,Stockport,2011-01-15,E3,2010-2011,H,2.02,3.38,3.49,England: League Two
Lincoln,Wycombe,2011-01-15,E3,2010-2011,A,3.11,3.29,2.22,England: League Two
Morecambe,Torquay,2011-01-15,E3,2010-2011,H,2.46,3.27,2.73,England: League Two
Oxford,Bradford,2011-01-15,E3,2010-2011,H,2.05,3.3,3.46,England: League Two
Rotherham,Southend,2011-01-15,E3,2010-2011,A,1.78,3.47,4.38,England: League Two
Accrington,Shrewsbury,2011-01-18,E3,2010-2011,A,2.23,3.31,3.08,England: League Two
Aldershot,Bradford,2011-01-18,E3,2010-2011,H,2.26,3.29,3.02,England: League Two
Southend,Bury,2011-01-21,E3,2010-2011,D,2.39,3.26,2.85,England: League Two
Aldershot,Crewe,2011-01-22,E3,2010-2011,H,2.59,3.25,2.59,England: League Two
Macclesfield,Barnet,2011-01-22,E3,2010-2011,D,2.06,3.33,3.42,England: League Two
Northampton,Oxford,2011-01-22,E3,2010-2011,H,2.44,3.26,2.77,England: League Two
Port Vale,Cheltenham,2011-01-22,E3,2010-2011,A,1.94,3.36,3.76,England: League Two
Shrewsbury,Chesterfield,2011-01-22,E3,2010-2011,D,2.49,3.26,2.69,England: League Two
Stevenage,Morecambe,2011-01-22,E3,2010-2011,H,1.9,3.39,3.89,England: League Two
Stockport,Lincoln,2011-01-22,E3,2010-2011,A,2.39,3.27,2.82,England: League Two
Torquay,Gillingham,2011-01-22,E3,2010-2011,D,2.29,3.37,2.91,England: League Two
Wycombe,Rotherham,2011-01-22,E3,2010-2011,H,2.21,3.29,3.13,England: League Two
Cheltenham,Lincoln,2011-01-25,E3,2010-2011,A,1.85,3.49,3.99,England: League Two
Crewe,Bradford,2011-01-25,E3,2010-2011,H,1.88,3.44,3.9,England: League Two
Gillingham,Chesterfield,2011-01-25,E3,2010-2011,A,2.3,3.26,2.99,England: League Two
Hereford,Morecambe,2011-01-25,E3,2010-2011,H,2.42,3.29,2.77,England: League Two
